track type=wiggle_0 name="K562" description="H3K4Me3 Mark (Often Found Near Promoters) on K562 Cells from ENCODE"
#bedGraph section chr3:128408107-128460107
chr3	128454682	128454857	1
chr3	128454857	128454882	0.76
chr3	128455082	128455107	0.2
chr3	128455107	128455157	1
chr3	128455157	128455182	1.16
chr3	128455182	128455282	2
chr3	128455282	128455307	1.8
chr3	128455307	128455332	1.6
chr3	128455332	128455357	2
chr3	128455357	128455382	1.84
chr3	128455382	128455507	1
chr3	128455507	128455532	0.4
chr3	128455557	128455582	0.76
chr3	128455582	128455657	1
chr3	128455657	128455682	1.68
chr3	128455682	128455757	2
chr3	128455757	128455782	1.24
chr3	128455782	128455857	1
chr3	128455857	128455882	0.32
chr3	128456532	128456557	0.6
chr3	128456557	128456582	1
chr3	128456582	128456607	1.28
chr3	128456607	128456732	2
chr3	128456732	128456757	1.4
chr3	128456757	128456782	1
chr3	128456782	128456807	0.72
chr3	128456882	128456907	0.16
chr3	128456907	128456957	1
chr3	128456957	128456982	1.04
chr3	128456982	128457007	2
chr3	128457007	128457032	2.64
chr3	128457032	128457057	3.64
chr3	128457057	128457082	4.36
chr3	128457082	128457107	5.76
chr3	128457107	128457157	5
chr3	128457157	128457182	4.96
chr3	128457182	128457207	4
chr3	128457207	128457232	3.36
chr3	128457232	128457257	3.04
chr3	128457257	128457282	3.24
chr3	128457282	128457307	2.08
chr3	128457307	128457332	2.76
chr3	128457332	128457432	3
chr3	128457432	128457457	3.2
chr3	128457457	128457482	2.4
chr3	128457482	128457507	2
chr3	128457507	128457532	1.24
chr3	128457532	128457557	1
chr3	128457557	128457582	1.48
chr3	128457582	128457607	2.2
chr3	128457607	128457632	3.36
chr3	128457632	128457657	3.12
chr3	128457657	128457757	3
chr3	128457757	128457782	2.52
chr3	128457782	128457807	1.8
chr3	128457807	128457832	0.92
chr3	128457832	128457932	1
chr3	128457932	128457957	1.8
chr3	128457957	128458007	2
chr3	128458007	128458032	1.72
chr3	128458032	128458132	1
chr3	128458132	128458157	0.2
chr3	128458482	128458507	0.6
chr3	128458507	128458532	1
chr3	128458532	128458557	1.44
chr3	128458557	128458682	2
chr3	128458682	128458707	1.4
chr3	128458707	128458732	1
chr3	128458732	128458757	0.56
chr3	128459032	128459057	0.4
chr3	128459057	128459232	1
chr3	128459232	128459257	0.6
chr3	128459782	128459807	0.52
chr3	128459807	128459857	1
chr3	128459857	128459882	1.48
chr3	128459882	128459907	2.68
chr3	128459907	128459982	3
chr3	128459982	128460007	2.48
chr3	128460007	128460057	2
chr3	128460057	128460082	1.52
chr3	128460082	128460107	1.16
#bedGraph section chr3:128460107-128500932
chr3	128460107	128460282	1
chr3	128460282	128460307	0.16
chr3	128460807	128460832	0.36
chr3	128460832	128460957	1
chr3	128460957	128460982	1.8
chr3	128460982	128461007	2
chr3	128461007	128461032	1.64
chr3	128461032	128461057	1.44
chr3	128461057	128461157	3
chr3	128461157	128461182	2.2
chr3	128461182	128461232	2
chr3	128461232	128461257	1.56
chr3	128462432	128462457	1.12
chr3	128462457	128462607	2
chr3	128462607	128462632	2.44
chr3	128462632	128462657	2.76
chr3	128462657	128462707	2
chr3	128462707	128462732	3.28
chr3	128462732	128462782	4
chr3	128462782	128462807	4.76
chr3	128462807	128462832	4.56
chr3	128462832	128462857	3.12
chr3	128462857	128462907	3
chr3	128462907	128462932	1.72
chr3	128462932	128462982	1
chr3	128462982	128463007	0.24
chr3	128463182	128463207	0.36
chr3	128463207	128463332	1
chr3	128463332	128463357	1.84
chr3	128463357	128463382	2
chr3	128463382	128463407	1.96
chr3	128463407	128463532	2
chr3	128463532	128463557	1.16
chr3	128463557	128463582	1
chr3	128463582	128463607	0.68
chr3	128463982	128464007	0.72
chr3	128464007	128464032	1
chr3	128464032	128464057	1.16
chr3	128464057	128464182	2
chr3	128464182	128464207	1.72
chr3	128464207	128464232	2
chr3	128464232	128464257	1.84
chr3	128464257	128464282	1.76
chr3	128464282	128464357	2
chr3	128464357	128464382	2.8
chr3	128464382	128464407	3.56
chr3	128464407	128464432	3
chr3	128464432	128464457	3.28
chr3	128464457	128464482	3.24
chr3	128464482	128464507	3
chr3	128464507	128464532	3.48
chr3	128464532	128464557	4
chr3	128464557	128464582	3.2
chr3	128464582	128464607	2
chr3	128464607	128464632	2.84
chr3	128464632	128464657	2.72
chr3	128464657	128464682	2.24
chr3	128464682	128464707	3
chr3	128464707	128464732	2.52
chr3	128464732	128464757	2
chr3	128464757	128464782	2.4
chr3	128464782	128464807	3
chr3	128464807	128464832	2.16
chr3	128464832	128464857	2.12
chr3	128464857	128464882	2.76
chr3	128464882	128464957	2
chr3	128464957	128464982	1.6
chr3	128464982	128465007	1.08
chr3	128465007	128465032	2
chr3	128465032	128465057	1.88
chr3	128465057	128465082	1
chr3	128465082	128465107	1.36
chr3	128465107	128465182	2
chr3	128465182	128465207	1.92
chr3	128465207	128465282	1
chr3	128465282	128465307	0.64
chr3	128465457	128465482	0.08
chr3	128465482	128465507	1
chr3	128465507	128465532	1.8
chr3	128465532	128465657	2
chr3	128465657	128465682	2.44
chr3	128465682	128465707	2
chr3	128465707	128465732	1.2
chr3	128465732	128465857	1
chr3	128465857	128465882	0.48
